Timestamp,Data
1970-01-01 00:00:00.000000,59.66
1970-01-01 00:00:00.000030,59.66
1970-01-01 00:00:00.000060,59.66
1970-01-01 00:00:00.000090,59.66
1970-01-01 00:00:00.000120,59.66
1970-01-01 00:00:00.000150,59.66
1970-01-01 00:00:00.000180,59.66
1970-01-01 00:00:00.000210,59.66
1970-01-01 00:00:00.000240,59.66
1970-01-01 00:00:00.000270,59.66
1970-01-01 00:00:00.000300,59.66
1970-01-01 00:00:00.000330,59.66
1970-01-01 00:00:00.000360,59.66
1970-01-01 00:00:00.000390,59.66
1970-01-01 00:00:00.000420,59.66
1970-01-01 00:00:00.000450,59.66
1970-01-01 00:00:00.000480,59.66
1970-01-01 00:00:00.000510,59.66
1970-01-01 00:00:00.000540,59.66
1970-01-01 00:00:00.000570,59.66
1970-01-01 00:00:00.000600,59.66
1970-01-01 00:00:00.000630,59.66
1970-01-01 00:00:00.000660,59.66
1970-01-01 00:00:00.000690,59.66
1970-01-01 00:00:00.000720,59.66
1970-01-01 00:00:00.000750,59.66
1970-01-01 00:00:00.000780,59.66
1970-01-01 00:00:00.000810,59.66
1970-01-01 00:00:00.000840,59.66
1970-01-01 00:00:00.000870,59.66
1970-01-01 00:00:00.000900,59.66
1970-01-01 00:00:00.000930,59.66
1970-01-01 00:00:00.000960,59.66
1970-01-01 00:00:00.000990,59.66
1970-01-01 00:00:00.001020,59.66
1970-01-01 00:00:00.001050,59.66
1970-01-01 00:00:00.001080,59.66
1970-01-01 00:00:00.001110,59.66
1970-01-01 00:00:00.001140,59.66
1970-01-01 00:00:00.001170,59.66
1970-01-01 00:00:00.001200,59.66
1970-01-01 00:00:00.001230,59.66
1970-01-01 00:00:00.001260,59.66
1970-01-01 00:00:00.001290,59.66
1970-01-01 00:00:00.001320,59.66
1970-01-01 00:00:00.001350,59.66
1970-01-01 00:00:00.001380,59.66
1970-01-01 00:00:00.001410,59.66
1970-01-01 00:00:00.001440,59.66
1970-01-01 00:00:00.001470,59.66
1970-01-01 00:00:00.001500,59.66
1970-01-01 00:00:00.001530,59.66
1970-01-01 00:00:00.001560,59.66
1970-01-01 00:00:00.001590,59.66
1970-01-01 00:00:00.001620,59.66
1970-01-01 00:00:00.001650,59.66
1970-01-01 00:00:00.001680,59.66
1970-01-01 00:00:00.001710,59.66
1970-01-01 00:00:00.001740,59.66
