#nrNodes nrCollisions nrTransmissions OverallEnergy
1 0 4972 9.282763776
2 0 10109 14.147125824
3 0 14829 27.208538496
4 2 20050 30.887186304
5 14 25020 43.857636864
6 4 29794 68.413776576
7 2 35030 43.290696384
8 2 40536 72.308239488
9 6 44805 89.047106496
10 4 50414 96.80073312
20 34 100172 179.45437632
30 72 149753 263.443781376
40 129 200350 327.165225216
50 210 250811 437.159782656
60 402 300345 493.506257472
70 474 350567 586.47189408
80 552 399888 741.458635968
90 748 452265 838.988240448
100 923 501605 967.107233664
200 3586 1001382 1763.28704333
300 8252 1502772 2667.86698061
400 14954 2004952 3613.34449421
500 22951 2504647 4427.4069193
600 32821 3008648 5347.59272563
700 44628 3508067 6299.5729417
800 58474 4009281 7285.65943392
900 74107 4509980 8059.07865024
1000 90380 5006638 9063.33238176
1200 129315 6012518 10997.3521699
1400 177037 7013896 12755.4016996
1600 231042 8020739 14396.228031
1 0 76 0.141892608
2 0 175 0.3418368
3 0 233 0.29978208
4 0 314 0.557763072
5 0 446 1.111769856
6 0 480 0.775992
