#nrNodes nrCollisions nrTransmissions OverallEnergy
1 0 4925 9.1950144
2 0 9885 18.45537408
3 0 14843 35.336032512
4 0 20001 52.732297728
5 2 25121 46.901107968
6 2 30036 63.631147008
7 4 34735 95.50873728
8 8 40116 89.998166016
9 8 45252 92.247496704
10 10 50321 132.369574656
20 30 100438 241.152840192
30 78 150120 341.20939776
40 142 199983 502.903492608
50 170 250687 605.719834368
60 340 301386 724.09142784
70 442 350574 853.617836544
80 618 401857 935.048285952
90 642 451485 1096.82352384
100 900 500663 1164.4872983
200 3598 1003133 2440.86612634
300 8336 1503789 3504.6346199
400 14762 2006746 4714.07092992
500 22531 2506537 6081.05274163
600 32811 3006622 7129.75178573
700 44746 3502812 8247.17603635
800 58383 4009645 9746.67051494
900 73209 4511226 10713.4419533
1000 90113 5009893 11906.5413857
1200 130386 6013314 14280.0842849
1400 176698 7019052 16854.8353544
1600 230272 8018830 19010.3011254
1 0 88 0.164296704
2 0 140 0.26138112
3 0 268 0.500358144
4 0 320 0.840567552
5 0 438 1.108276224
6 0 482 1.146081024
